,City,Code,Name,Name_En
268,屏東縣,C0R490,九如,Jiuru
269,屏東縣,C0R510,萬丹,WanDan
270,屏東縣,C0R520,崁頂,Kanding
271,屏東縣,C0R530,林邊,Linbian
272,屏東縣,C0R540,佳冬,Jiadong
273,屏東縣,C0R550,新埤,Xinpi
274,屏東縣,C0R560,新園,Xinyuan
275,屏東縣,C0R570,麟洛,Linluo
276,屏東縣,C0R580,南州,Nanzhou
277,屏東縣,C0R590,里港,Ligang
278,屏東縣,C0R600,舊泰武,Jiutaiwu
279,屏東縣,C0R620,墾雷,Kenlei
280,屏東縣,C0R640,東港,Donggang
281,屏東縣,C0R650,竹田,Zhutian
282,臺東縣,C0S680,紅葉山,Hongyeshan
283,臺東縣,C0S690,太麻里,Taimali
284,臺東縣,C0S700,知本,Jhihben
285,臺東縣,C0S710,鹿野,Luye
286,臺東縣,C0S730,綠島,Ludao
287,臺東縣,C0S740,池上,Chihshang
288,臺東縣,C0S750,向陽,Siangyang
289,臺東縣,C0S760,紅石,Hongshih
290,臺東縣,C0S770,大溪山,Dasishan
291,臺東縣,C0S790,金崙,Jinlun
292,臺東縣,C0S810,東河,Donghe
293,臺東縣,C0S830,長濱,Changbin
294,臺東縣,C0S840,南田,Nantian
295,臺東縣,C0S890,關山,Guanshan
296,花蓮縣,C0T790,大禹嶺,Dayuling
297,花蓮縣,C0T820,天祥,Tianxiang
298,花蓮縣,C0T870,鯉魚潭,Liyutan
299,花蓮縣,C0T900,西林,Xilin
300,花蓮縣,C0T960,光復,Guangfu
301,花蓮縣,C0T9A0,月眉山,Yuemeishan
302,花蓮縣,C0T9B0,水源,Shuiyuan
303,花蓮縣,C0T9D0,和中,Hezhong
304,花蓮縣,C0T9E0,大坑,Dakeng
305,花蓮縣,C0T9F0,水璉,Shuilian
306,花蓮縣,C0T9G0,鳳林山,Fenglinshan
307,花蓮縣,C0T9H0,加路蘭山,Jialulanshan
308,花蓮縣,C0T9I0,豐濱,Fengbin
309,花蓮縣,C0T9M0,靜浦,Jingpu
310,宜蘭縣,C0U520,雙連埤,Shuanglianpi
311,宜蘭縣,C0U600,礁溪,Chiaoshi
312,宜蘭縣,C0U650,玉蘭,Yulan
313,宜蘭縣,C0U710,太平山,Taipingshan
314,宜蘭縣,C0U720,南山,Nanshan
315,宜蘭縣,C0U750,龜山島,Gueishandao
316,宜蘭縣,C0U760,東澳,Dong-ao
317,宜蘭縣,C0U770,南澳,Nanao
318,宜蘭縣,C0U780,五結,Wujie
319,宜蘭縣,C0U860,頭城,Toucheng
320,宜蘭縣,C0U870,大礁溪,Dajiaoxi
321,宜蘭縣,C0U890,三星,Sanxing
322,宜蘭縣,C0U900,內城,Neicheng
323,宜蘭縣,C0U910,冬山,Dongshan
324,宜蘭縣,C0U940,羅東,Luodong
325,宜蘭縣,C0U950,鶯子嶺,Yingziling
326,宜蘭縣,C0U960,翠峰湖,Cuifenghu
327,宜蘭縣,C0U970,大福,Dafu
328,宜蘭縣,C0U980,坪林石牌,ShipaiPinglin
329,宜蘭縣,C0U990,員山,Yuanshan
330,宜蘭縣,C0UA00,土場,Tuchang
331,宜蘭縣,C0UA10,鴛鴦湖,Yuanyanghu
332,宜蘭縣,C0UA20,多加屯,Duojiatun
333,宜蘭縣,C0UA30,白嶺,Bailing
334,宜蘭縣,C0UA40,西德山,Xideshan
335,宜蘭縣,C0UA50,西帽山,Ximaoshan
336,宜蘭縣,C0UA60,樟樹山,Zhangshushan
337,宜蘭縣,C0UA70,桃源谷,Taoyuangu
338,高雄市,C0V210,復興,Fuxing
